Catalog;GER;ITA;FRA;ENG;RUM;Value;Source
general_catalog;ISBN;;;ISBN;;ISBN;
general_catalog;URL;;;URL;;URL;
;;;;;;;
life_cycle_status;entwurf;;;draft;;draft;LOMv1.0
life_cycle_status;fertig;;;final;;final;LOMv1.0
life_cycle_status;nicht verfügbar;;;unavailable;;unavailable;LOMv1.0
life_cycle_status;revidiert;;;revised;;revised;LOMv1.0
;;;;;;;
rights_licenses;alle Rechte vorbehalten;;;all rights reserved;;all rights reserved;
rights_licenses;cc by nc nd 2.5 ch;;;cc by nc nd 2.5 ch;;cc-by-nc-nd/2.5/ch;
rights_licenses;cc by nc sa 2.5 ch;;;cc by nc sa 2.5 ch;;cc-by-nc-sa/2.5/ch;
rights_licenses;gnu 2.0;;;gnu 2.0;;gnu 2.0;
;;;;;;;
intended_enduserrole;Schüler;;;learner;;learner;LOMv1.0
intended_enduserrole;Lehrer;;;teacher;;teacher;LOMv1.0
intended_enduserrole;Verwalter;;;manager;;manager;LOMv1.0
intended_enduserrole;Eltern;;;parent;;parent;LREv3.0
intended_enduserrole;Author;;;author;;author;LOMv1.0
intended_enduserrole;Ratgeber;;;counsellor;;counsellor;LREv3.0
intended_enduserrole;Andere;;;other;;other;LREv3.0
;;;;;;;
education_context;Andere;;;other;;other;LOMv1.0
education_context;Fernschule;;;distance education;;distance education;LREv3.0
education_context;Kindergarten;;;pre-school;;pre-school;LREv3.0
education_context;Sonderpädagogick;;;special education;;special education;LREv3.0
education_context;Vorschule;;;ompulsory education;;compulsory education;LREv3.0
education_context;Sekundarstuffe 1;;;school;;school;LOMv1.0
education_context;Sekundarstuffe 2;;;higher education;;higher education;LOMv1.0
education_context;Lehre;;;;;training;LOMv1.0
;;;;;;;
language;Deutsch;;;German;;de;ISO 639-1
language;Englisch;;;English;;en;ISO 639-1
language;Französisch;;;France;;fr;ISO 639-1
language;Griechisch;;;Greek;;gr;ISO 639-1
language;Italienisch;;;Italian;;it;ISO 639-1
language;Latein;;;Latin;;lt;ISO 639-1
language;Rätoromanisch;;;Rhaeto-Romanic;;rm;ISO 639-1
language;Spanisch;;;Spain;;es;ISO 639-1
;;;;;;;
learning_resourcetype;Anleitung;;;guide;;guide;LREv3.0
learning_resourcetype;Anwendung;;;application;;application;LREv3.0
learning_resourcetype;Ausstellung;;;exploration;;exploration;LREv3.0
learning_resourcetype;Demonstration;;;demonstration;;demonstration;LREv3.0
learning_resourcetype;Diagramm;;;diagram;;diagram;LOMv1.0
learning_resourcetype;Drill und Praxis;;;drill and practice;;drill and practice;LREv3.0
learning_resourcetype;Eigenbewertung;;;self assessment;;self assessment;LOMv1.0
learning_resourcetype;Empfehlung;;;reference;;reference;LREv3.0
learning_resourcetype;Experiment;;;experiment;;experiment;LOMv1.0
learning_resourcetype;Fallstudie;;;case study;;case study;LREv3.0
learning_resourcetype;Glossar;;;glossary;;glossary;LREv3.0
learning_resourcetype;Hilfsmittel;;;tool;;tool;LREv3.0
learning_resourcetype;Kurs;;;course;;course;LREv3.0
learning_resourcetype;Lernspiel;;;educational game;;educational game;LREv3.0
learning_resourcetype;offen Aktivität;;;open activity;;open activity;LREv3.0
learning_resourcetype;Praktikum;;;enquiry-oriented activity;;enquiry-oriented activity;LREv3.0
learning_resourcetype;Präsentation;;;presentation;;presentation;LREv3.0
learning_resourcetype;Projekt;;;project;;project;LREv3.0
learning_resourcetype;Prüfung;;;exam;;exam;LOMv1.0
learning_resourcetype;Rollenspiel;;;role play;;role play;LREv3.0
learning_resourcetype;Rundfunksendung;;;broadcast;;broadcast;LREv3.0
learning_resourcetype;Simmulation;;;simulation;;simulation;LOMv1.0
learning_resourcetype;Stundenplan;;;lesson plan;;lesson plan;LREv3.0
learning_resourcetype;Folie;;;slide;;slide;LOMv1.0
learning_resourcetype;Audio;;;audio;;audio;LREv3.0
learning_resourcetype;Bild;;;image;;image;LREv3.0
learning_resourcetype;Text;;;text;;text;LREv3.0
learning_resourcetype;Video;;;video;;video;LREv3.0
learning_resourcetype;Anderes;;;other;;other;LREv3.0
learning_resourcetype;Webseite;;;web page;;web page;LREv3.0
learning_resourcetype;Wiki;;;wiki;;wiki;LREv3.0
learning_resourcetype;Web Blog;;;weblog;;weblog;LREv3.0
learning_resourcetype;Andere Web Ressource;;;other web resource;;other web resource;LREv3.0
;;;;;;;
lc_cont_role;Anderes;;;unknown;;unknown;LOMv1.0
lc_cont_role;Auftraggeber;;;initiator;;initiator;LOMv1.0
lc_cont_role;Author;;;author;;author;LOMv1.0
lc_cont_role;Bildungs Prüfung;;;educational validator;;educational validator;LOMv1.0
lc_cont_role;Drehbuch;;;script writer;;script writer;LOMv1.0
lc_cont_role;Endkontrolle;;;terminator;;terminator;LOMv1.0
lc_cont_role;Grafikdesigner;;;graphical designer;;graphical designer;LOMv1.0
lc_cont_role;Inhaltsanbieter;;;content provider;;content provider;LOMv1.0
lc_cont_role;Inhalts experte;;;subject matter expert;;subject matter expert;LOMv1.0
lc_cont_role;Lektor;;;editor;;editor;LOMv1.0
lc_cont_role;Prüfer;;;validator;;validator;LOMv1.0
lc_cont_role;Technische Implementierung;;;technical implementer;;technical implementer;LOMv1.0
lc_cont_role;technische Prüfung;;;technical validator;;technical validator;LOMv1.0
lc_cont_role;Veröffentlicher;;;publisher;;publisher;LOMv1.0
lc_cont_role;Zeichner;;;instructional designer;;instructional designer;LOMv1.0
;;;;;;;
difficulty;Sehr einfach;;;very easy;;very easy;LOMv1.0
difficulty;Einfach;;;easy;;easy;LOMv1.0
difficulty;Mittel;;;medium;;medium;LOMv1.0
difficulty;Schwierig;;;difficult;;difficult;LOMv1.0
difficulty;Sehr schwierig;;;very difficult;;very difficult;LOMv1.0