Domaines;Diciplines;Thématique;Cycle 1;Cycle 2;Cycle 3;Composants;Zuordnung educa Schulfächer
LANGUES;Langues;;;;;;languages
;Français;;;;;;french school language
;;Compréhension de l'écrit;L1 11-12;L1 21;L1 31;;french school language
;;Production de l'écrit;L1 11-12;L1 22;L1 32;;french school language
;;Compréhension de l'oral;L1 13-14;L1 23;L1 33;;french school language
;;Production de l'oral;L1 13-14;L1 24;L1 34;;french school language
;;Accès à la littérature;L1 15;L1 25;L1 35;;french school language
;;Fonctionnement de la langue;L1 16;L1 26;L1 36;;french school language
;;Approches interlinguistiques;L 17;L 27;L 37;;french school language
;;Écriture et instruments de la communication;L1 18;L1 28;L1 38;;french school language
;Allemand;;;;;;german foreign language
;;Compréhension de l'écrit;x;L2 21;L2 31;;german foreign language
;;Production de l'écrit;x;L2 22;L2 32;;german foreign language
;;Compréhension de l'oral;x;L2 23;L2 33;;german foreign language
;;Production de l'oral;x;L2 24;L2 34;;german foreign language
;;Accès à la littérature;x;x;x;;german foreign language
;;Fonctionnement de la langue;x;L2 26;L2 36;;german foreign language
;;Approches interlinguistiques;x;L 27;L 37;;german foreign language
;;Écriture et instruments de la communication;x;x;x;;german foreign language
;Anglais;;;;;;english foreign language
;;Compréhension de l'écrit;x;L3 21;L3 31;;english foreign language
;;Production de l'écrit;x;L3 22;L3 32;;english foreign language
;;Compréhension de l'oral;x;L3 23;L3 33;;english foreign language
;;Production de l'oral;x;L3 24;L3 34;;english foreign language
;;Accès à la littérature;x;x;x;;english foreign language
;;Fonctionnement de la langue;x;L3 26;L3 36;;english foreign language
;;Approches interlinguistiques;x;L 27;L 37;;english foreign language
;;Écriture et instruments de la communication;x;x;x;;english foreign language
;Latin;;;;;;latin
;;Latin;x;x;Latin;;latin
MATHÉMATIQUES ET SCIENCES DE LA NATURE;;;;;;;mathematics and natural science
;Mathématiques;;;;;;mathematics
;;Espace;MSN 11;MSN 21;MSN 31;;mathematics
;;Nombres;MSN 12;MSN 22;MSN 32;;mathematics
;;Opérations;MSN 13;MSN 23;MSN 33;;mathematics
;;Grandeurs et mesures;MSN 14;MSN 24;MSN 34;;mathematics
;;Modélisation;MSN 15;MSN 25;MSN 35;;mathematics
;Sciences de la nature;;;;;;natural sciences
;;Modélisation;MSN 15;MSN 25;MSN 35;;natural sciences
;;Phénomènes naturels et techniques;MSN 16;MSN 26;MSN 36;;natural sciences
;;Corps humain;MSN 17;MSN 27;MSN 37;;natural sciences
;;Diversité du vivant;MSN 18;MSN 28;MSN 38;;natural sciences
SCIENCES HUMAINES ET SOCIALES;Sciences humaines et sociales;;;;;;social and human sciences
;Géographie;;;;;;geography
;;Relation Homme-espace;SHS 11;SHS 21;SHS 31;;geography
;;Outils et méthodes de recherche;SHS 13;SHS 23;SHS 33;;geography
;Histoire;;;;;;history
;;Relation Homme-temps;SHS 12;SHS 22;SHS 32;;history
;;Outils et méthodes de recherche;SHS 13;SHS 23;SHS 33;;history
;Citoyenneté;;;;;;citizenship
;;Outils et méthodes de recherche;x;SHS 23;SHS 33;;citizenship
;;Relation Homme-société;x;SHS 24;SHS 34;;citizenship
;Éthique et cultures religieuses;;;;;;ethics and religions
;;Éthique et cultures religieuses;SHS 15;SHS 25;SHS 35;;ethics and religions
ARTS;;;;;;;arts
;Activités créatrices et manuelles;;;;;;creative activities
;;Expression et représentation;A 11 AC&M;A 21 AC&M;A 31 AC&M;;creative activities
;;Perception;A 12 AC&M;A 22 AC&M;A 32 AC&M;;creative activities
;;Acquisition de techniques;A 13 AC&M;A 23 AC&M;A 33 AC&M;;creative activities
;;Culture;A 14 AC&M;A 24 AC&M;A 34 AC&M;;creative activities
;Arts visuels;;;;;;visual arts
;;Expression et représentation;A 11 AV;A 21 AV;A 31 AV;;visual arts
;;Perception;A 12 AV;A 22 AV;A 32 AV;;visual arts
;;Acquisition de techniques;A 13 AV;A 23 AV;A 33 AV;;visual arts
;;Culture;A 14 AV;A 24 AV;A 34 AV;;visual arts
;Musique;;;;;;music
;;Expression et représentation;A 11 Mu;A 21 Mu;A 31 Mu;;music
;;Perception;A 12 Mu;A 22 Mu;A 32 Mu;;music
;;Acquisition de techniques;A 13 Mu;A 23 Mu;A 33 Mu;;music
;;Culture;A 14 Mu;A 24 Mu;A 34 Mu;;music
CORPS ET MOUVEMENT;;;;;;;sport
;Éducation physique;;;;;;motion and sport
;;Condition physique et santé;CM 11;CM 21;CM 31;;motion and sport
;;Activités motrices et/ou d’expression;CM 12;CM 22;CM 32;;motion and sport
;;Pratiques sportives;CM 13;CM 23;CM 33;;motion and sport
;;Jeux individuels et collectifs;CM 14;CM 24;CM 34;;motion and sport
;Éducation nutritionelle;;;;;;domestic science
;;Sens et besoins physiologiques;CM 15;CM 25;CM 35;;domestic science
;;Équilibre alimentaire;CM 16;CM 26;CM 36;;domestic science
;;;;;;;economy
;Économie familiale;Consommation responsable;x;x;CM 37;;home economics
FORMATION GÉNÉRALES;;;;;;;general education
;MITIC;;;;;;media and ict
;;MITIC;FG 11;FG 21;FG 31;;media and ict
;Santé et bien-être;;;;;;prevention_and_ health
;;Santé et bien-être;FG 12;FG 22;FG 32;;prevention_and_ health
;Choix et projets personnels;;;;;;personal_projects
;;Choix et projets personnels;FG 13;FG 23;FG 33;;personal_projects
;Vivre ensemble et exercice de la démocratie;;;;;;
;;Projets collectifs;FG 14-15;FG 24;FG 34;;collective_projects
;;Vie de la classe et de l'école;FG 14-15;FG 25;FG 35;;life_of_the_class_ and_of_the_school
;;Identité;FG 18;FG 28;FG 38;;identity
;Interdépendances (sociales, économiques et environnementales);;;;;;
;;Environnement;FG 16-17;FG 26-27;FG 36;;environment_and_dependencies
;;Complexité et interdépendance;FG 16-17;FG 26-27;FG 37;;environment_and_dependencies
