dummy_id,title,workflow_state,organization,location,region,occupational_fields,fields_of_study,employment_type,experience,salary,application_email,languages,it_skills,general_skills,description
1,Web developer,published,Funky developers Inc.,Antioch,California,IT / Software Development,Computer science / IT,Full time,1 - 2 years,44000,jobs@example.com,"English,French,Basque,Chinese","PHP,Drupal",scientific knowledge,"Nullam at erat in velit congue consequat quis in purus. Fusce pharetra sagittis turpis, id pellentesque mauris vulputate et. Sed a odio lectus, non pellentesque lectus. Ut magna risus, cursus eu imperdiet sed, pharetra sit amet urna. Aenean dictum, erat vel porta posuere, libero mi lacinia purus, ac placerat enim libero vel tortor. Mauris risus felis, malesuada vitae pellentesque sit amet, dapibus non enim. Nulla sit amet lectus quis tortor hendrerit tincidunt.

"
2,Java developer,published,Funky developers Inc.,San Francisco,California,"Engineering,IT / Software Development",Computer science / IT,Full time,3 - 5 years,50000,jobs@example.com,English,Java,scientific knowledge,"Nullam at erat in velit congue consequat quis in purus. Fusce pharetra sagittis turpis, id pellentesque mauris vulputate et. Sed a odio lectus, non pellentesque lectus. Ut magna risus, cursus eu imperdiet sed, pharetra sit amet urna. Aenean dictum, erat vel porta posuere, libero mi lacinia purus, ac placerat enim libero vel tortor. Mauris risus felis, malesuada vitae pellentesque sit amet, dapibus non enim. Nulla sit amet lectus quis tortor hendrerit tincidunt.

"
3,Drupal developer,published,Funky developers Inc.,Santa Cruz,California,Engineering,Computer science / IT,Full time,5 - 10 years,65000,jobs@example.com,English,"PHP,Drupal",scientific knowledge,"Nullam at erat in velit congue consequat quis in purus. Fusce pharetra sagittis turpis, id pellentesque mauris vulputate et. Sed a odio lectus, non pellentesque lectus. Ut magna risus, cursus eu imperdiet sed, pharetra sit amet urna. Aenean dictum, erat vel porta posuere, libero mi lacinia purus, ac placerat enim libero vel tortor. Mauris risus felis, malesuada vitae pellentesque sit amet, dapibus non enim. Nulla sit amet lectus quis tortor hendrerit tincidunt.

"
4,Junior manager,published,People Limited,Miami,Florida,Human Resources,Business administration / Management,Part time / side job,1 - 2 years,45000,jobs@example.com,English,Office applications,legal knowledge,"Donec euismod, magna eu bibendum ornare, libero enim fringilla odio, hendrerit ornare felis sem in velit. Quisque molestie tristique erat, ut elementum felis elementum tincidunt. Nam et mollis lacus. Duis ut velit sed metus tincidunt luctus tincidunt ac dui. Ut sit amet sapien libero, vel suscipit lectus. Donec ut vestibulum purus. Cras risus tortor, pharetra in feugiat in, facilisis sodales ligula. Curabitur lacinia porttitor mauris lacinia tempor. Nulla scelerisque dui id tortor vestibulum at rutrum eros dignissim. Mauris ligula erat, rhoncus ac congue at, eleifend at leo. Proin ac lectus non tellus aliquet suscipit. Proin vel ante nec risus tincidunt vulputate. Donec fermentum libero quis sem varius tempus. Sed diam augue, porta mattis hendrerit id, vehicula non augue.

"
5,Senior manager,published,People Limited,Miami,Florida,"Human Resources,Customer Support / Client Care",Business administration / Management,Full time,3 - 5 years,50000,jobs@example.com,English,,legal knowledge,"Donec euismod, magna eu bibendum ornare, libero enim fringilla odio, hendrerit ornare felis sem in velit. Quisque molestie tristique erat, ut elementum felis elementum tincidunt. Nam et mollis lacus. Duis ut velit sed metus tincidunt luctus tincidunt ac dui. Ut sit amet sapien libero, vel suscipit lectus. Donec ut vestibulum purus. Cras risus tortor, pharetra in feugiat in, facilisis sodales ligula. Curabitur lacinia porttitor mauris lacinia tempor. Nulla scelerisque dui id tortor vestibulum at rutrum eros dignissim. Mauris ligula erat, rhoncus ac congue at, eleifend at leo. Proin ac lectus non tellus aliquet suscipit. Proin vel ante nec risus tincidunt vulputate. Donec fermentum libero quis sem varius tempus. Sed diam augue, porta mattis hendrerit id, vehicula non augue.

"
6,Customer service manager,published,People Limited,Orlando,Florida,Customer Support / Client Care,Business administration / Management,Full time,3 - 5 years,55000,jobs@example.com,English,,legal knowledge,"Donec euismod, magna eu bibendum ornare, libero enim fringilla odio, hendrerit ornare felis sem in velit. Quisque molestie tristique erat, ut elementum felis elementum tincidunt. Nam et mollis lacus. Duis ut velit sed metus tincidunt luctus tincidunt ac dui. Ut sit amet sapien libero, vel suscipit lectus. Donec ut vestibulum purus. Cras risus tortor, pharetra in feugiat in, facilisis sodales ligula. Curabitur lacinia porttitor mauris lacinia tempor. Nulla scelerisque dui id tortor vestibulum at rutrum eros dignissim. Mauris ligula erat, rhoncus ac congue at, eleifend at leo. Proin ac lectus non tellus aliquet suscipit. Proin vel ante nec risus tincidunt vulputate. Donec fermentum libero quis sem varius tempus. Sed diam augue, porta mattis hendrerit id, vehicula non augue.

"
7,Booking manager,published,People Limited,Orlando,Florida,Banking / Real Estate / Mortgage Professionals,Business administration / Management,Full time,3 - 5 years,50000,jobs@example.com,English,,legal knowledge,"Donec euismod, magna eu bibendum ornare, libero enim fringilla odio, hendrerit ornare felis sem in velit. Quisque molestie tristique erat, ut elementum felis elementum tincidunt. Nam et mollis lacus. Duis ut velit sed metus tincidunt luctus tincidunt ac dui. Ut sit amet sapien libero, vel suscipit lectus. Donec ut vestibulum purus. Cras risus tortor, pharetra in feugiat in, facilisis sodales ligula. Curabitur lacinia porttitor mauris lacinia tempor. Nulla scelerisque dui id tortor vestibulum at rutrum eros dignissim. Mauris ligula erat, rhoncus ac congue at, eleifend at leo. Proin ac lectus non tellus aliquet suscipit. Proin vel ante nec risus tincidunt vulputate. Donec fermentum libero quis sem varius tempus. Sed diam augue, porta mattis hendrerit id, vehicula non augue.

"
8,Marketing expert,published,Newcomer Agency,New York City,New York,Marketing / Product,"Economics,Visual arts / Design,Business administration / Management,Media / Communication",Full time,3 - 5 years,45000,jobs@example.com,"English,German",Dreamweaver,economic knowledge,"Donec euismod, magna eu bibendum ornare, libero enim fringilla odio, hendrerit ornare felis sem in velit. Quisque molestie tristique erat, ut elementum felis elementum tincidunt. Nam et mollis lacus. Duis ut velit sed metus tincidunt luctus tincidunt ac dui. Ut sit amet sapien libero, vel suscipit lectus. Donec ut vestibulum purus. Cras risus tortor, pharetra in feugiat in, facilisis sodales ligula. Curabitur lacinia porttitor mauris lacinia tempor. Nulla scelerisque dui id tortor vestibulum at rutrum eros dignissim. Mauris ligula erat, rhoncus ac congue at, eleifend at leo. Proin ac lectus non tellus aliquet suscipit. Proin vel ante nec risus tincidunt vulputate. Donec fermentum libero quis sem varius tempus. Sed diam augue, porta mattis hendrerit id, vehicula non augue.

"
9,Marketing intern,published,Newcomer Agency,New York City,New York,Marketing / Product,"Economics,Business administration / Management,Media / Communication",Part time / side job,1 - 2 years,30000,jobs@example.com,English,MS Excel,economic knowledge,"Donec euismod, magna eu bibendum ornare, libero enim fringilla odio, hendrerit ornare felis sem in velit. Quisque molestie tristique erat, ut elementum felis elementum tincidunt. Nam et mollis lacus. Duis ut velit sed metus tincidunt luctus tincidunt ac dui. Ut sit amet sapien libero, vel suscipit lectus. Donec ut vestibulum purus. Cras risus tortor, pharetra in feugiat in, facilisis sodales ligula. Curabitur lacinia porttitor mauris lacinia tempor. Nulla scelerisque dui id tortor vestibulum at rutrum eros dignissim. Mauris ligula erat, rhoncus ac congue at, eleifend at leo. Proin ac lectus non tellus aliquet suscipit. Proin vel ante nec risus tincidunt vulputate. Donec fermentum libero quis sem varius tempus. Sed diam augue, porta mattis hendrerit id, vehicula non augue.

"
10,Marketing manager,published,Newcomer Agency,Buffalo,New York,Marketing / Product,"Economics,Business administration / Management,Media / Communication",Full time,3 - 5 years,55000,jobs@example.com,English,MS Excel,economic knowledge,"Donec euismod, magna eu bibendum ornare, libero enim fringilla odio, hendrerit ornare felis sem in velit. Quisque molestie tristique erat, ut elementum felis elementum tincidunt. Nam et mollis lacus. Duis ut velit sed metus tincidunt luctus tincidunt ac dui. Ut sit amet sapien libero, vel suscipit lectus. Donec ut vestibulum purus. Cras risus tortor, pharetra in feugiat in, facilisis sodales ligula. Curabitur lacinia porttitor mauris lacinia tempor. Nulla scelerisque dui id tortor vestibulum at rutrum eros dignissim. Mauris ligula erat, rhoncus ac congue at, eleifend at leo. Proin ac lectus non tellus aliquet suscipit. Proin vel ante nec risus tincidunt vulputate. Donec fermentum libero quis sem varius tempus. Sed diam augue, porta mattis hendrerit id, vehicula non augue.

"
11,Research intern,published,Newcomer Agency,Bosten,Massachusetts,Biotech / R&D / Science,Computer science / IT,Full time,1 - 2 years,40000,jobs@example.com,English,SPSS,scientific knowledge,"Donec euismod, magna eu bibendum ornare, libero enim fringilla odio, hendrerit ornare felis sem in velit. Quisque molestie tristique erat, ut elementum felis elementum tincidunt. Nam et mollis lacus. Duis ut velit sed metus tincidunt luctus tincidunt ac dui. Ut sit amet sapien libero, vel suscipit lectus. Donec ut vestibulum purus. Cras risus tortor, pharetra in feugiat in, facilisis sodales ligula. Curabitur lacinia porttitor mauris lacinia tempor. Nulla scelerisque dui id tortor vestibulum at rutrum eros dignissim. Mauris ligula erat, rhoncus ac congue at, eleifend at leo. Proin ac lectus non tellus aliquet suscipit. Proin vel ante nec risus tincidunt vulputate. Donec fermentum libero quis sem varius tempus. Sed diam augue, porta mattis hendrerit id, vehicula non augue.

"
12,Research manager,published,Newcomer Agency,Bosten,Massachusetts,Biotech / R&D / Science,Process engineering,Full time,3 - 5 years,60000,jobs@example.com,English,"SPSS,Statistica",scientific knowledge,"Donec euismod, magna eu bibendum ornare, libero enim fringilla odio, hendrerit ornare felis sem in velit. Quisque molestie tristique erat, ut elementum felis elementum tincidunt. Nam et mollis lacus. Duis ut velit sed metus tincidunt luctus tincidunt ac dui. Ut sit amet sapien libero, vel suscipit lectus. Donec ut vestibulum purus. Cras risus tortor, pharetra in feugiat in, facilisis sodales ligula. Curabitur lacinia porttitor mauris lacinia tempor. Nulla scelerisque dui id tortor vestibulum at rutrum eros dignissim. Mauris ligula erat, rhoncus ac congue at, eleifend at leo. Proin ac lectus non tellus aliquet suscipit. Proin vel ante nec risus tincidunt vulputate. Donec fermentum libero quis sem varius tempus. Sed diam augue, porta mattis hendrerit id, vehicula non augue.

"
