Afghanistan,93,412,afghanistan
Albania,355,276,albania
Algeria,213,603,algeria
Andorra,376,213,andorra
Angola,244,631,angola
Anguilla,1,365,anguilla
Antarctica (Australian bases),6721,232,antarctica-australian-bases
Antigua and Barbuda,1,344,antigua-and-barbuda
Argentina,54,722,argentina
Armenia,374,283,armenia
Aruba,297,363,aruba
Ascension,247,658,ascension
Australia,61,505,australia
Austria,43,232,austria
Azerbaijan,994,400,azerbaijan
Bahamas,1,364,bahamas
Bahrain,973,426,bahrain
Bangladesh,880,470,bangladesh
Barbados,1,342,barbados
Belarus,375,257,belarus
Belgium,32,206,belgium
Belize,501,702,belize
Benin,229,616,benin
Bermuda,1,350,bermuda
Bhutan,975,402,bhutan
Bolivia,591,736,bolivia
Bosnia and Herzegovina,387,218,bosnia-and-herzegovina
Botswana,267,652,botswana
Brazil,55,724,brazil
British Indian Ocean Territory,246,348,british-indian-ocean-territory
British Virgin Islands,1,348,british-virgin-islands
Brunei,673,528,brunei
Bulgaria,359,284,bulgaria
Burkina Faso,226,613,burkina-faso
Burundi,257,642,burundi
Cambodia,855,456,cambodia
Cameroon,237,624,cameroon
Canada,1,302,canada
Cape Verde,238,625,cape-verde
Cayman Islands,1,346,cayman-islands
Central African Republic,236,623,central-african-republic
Chad,235,622,chad
Chile,56,730,chile
China,86,460|461,china
Colombia,57,732,colombia
Comoros,269,654,comoros
Democratic Republic of the Congo,243,630,democratic-republic-of-the-congo
Republic of the Congo,242,629,republic-of-the-congo
Cook Islands,682,548,cook-islands
Costa Rica,506,658,costa-rica
Cote d'Ivoire,712,cote-d-ivoire
Croatia,385,219,croatia
Cuba,53,368,cuba
Cyprus,357,280,cyprus
Czech Republic,420,230,czech-republic
Denmark,45,238,denmark
Djibouti,253,638,djibouti
Dominica,1,366,dominica
Dominican Republic,1,370,dominican-republic
East Timor,670,514,east-timor
Ecuador,593,740,ecuador
Egypt,20,602,egypt
El Salvador,503,706,el-salvador
Equatorial Guinea,240,627,equatorial-guinea
Eritrea,291,657,eritrea
Estonia,372,248,estonia
Ethiopia,251,636,ethiopia
Falkland Islands,500,750,falkland-islands
Faroe Islands,298,288,faroe-islands
Fiji,679,542,fiji
Finland,358,244,finland
France,33,208,france
French Guiana,594,742,french-guiana
French Polynesia,689,547,french-polynesia
Gabon,241,628,gabon
Gambia,220,607,gambia
Gaza Strip,970,0,gaza-strip
Georgia,995,282,georgia
Germany,49,262,germany
Ghana,233,620,ghana
Gibraltar,350,266,gibraltar
Greece,30,202,greece
Greenland,299,290,greenland
Grenada,1,352,grenada
Guadeloupe,590,340,guadeloupe
Guam,1,535,guam
Guatemala,502,704,guatemala
Guinea,224,611,guinea
Guinea-Bissau,245,632,guinea-bissau
Guyana,592,738,guyana
Haiti,509,372,haiti
Honduras,504,708,honduras
Hong Kong,852,454,hong-kong
Hungary,36,216,hungary
Iceland,354,274,iceland
India,91,404|405|406,india
Indonesia,62,510,indonesia
Iraq,964,418,iraq
Iran,98,432,iran
Ireland (Eire),353,272,ireland-eire
Israel, +972,425,israel
Italy,39,222,italy
Jamaica,1,338,jamaica
Japan,81,440|441,japan
Jordan,962,416,jordan
Kazakhstan,7,401,kazakhstan
Kenya,254,639,kenya
Kiribati,686,545,kiribati
Kuwait,965,419,kuwait
Kyrgyzstan,996,437,kyrgyzstan
Laos,856,457,laos
Latvia,371,247,latvia
Lebanon,961,415,lebanon
Lesotho,266,651,lesotho
Liberia,231,618,liberia
Libya,218,606,libya
Liechtenstein,423,295,liechtenstein
Lithuania,370,246,lithuania
Luxembourg,352,270,luxembourg
Macau,853,455,macau
Republic of Macedonia,389,294,republic-of-macedonia
Madagascar,261,646,madagascar
Malawi,265,650,malawi
Malaysia,60,502,malaysia
Maldives,960,472,maldives
Mali,223,610,mali
Malta,356,278,malta
Marshall Islands,692,551,marshall-islands
Martinique,596,340,martinique
Mauritania,222,609,mauritania
Mauritius,230,617,mauritius
Mayotte,262,654,mayotte
Mexico,52,334,mexico
Federated States of Micronesia,691,550,federated-states-of-micronesia
Moldova,373,259,moldova
Monaco,377,212,monaco
Mongolia,976,428,mongolia
Montenegro,382,297,montenegro
Montserrat,1,354,montserrat
Moroo,212,604,moroo
Mozambique,258,643,mozambique
Myanmar,95,414,myanmar
Namibia,264,649,namibia
Nauru,674,536,nauru
Netherlands,31,204,netherlands
Netherlands Antilles,599,362,netherlands-antilles
Nepal,977,429,nepal
New Caledonia,687,546,new-caledonia
New Zealand,64,530,new-zealand
Nicaragua,505,710,nicaragua
Niger,227,614,niger
Nigeria,234,621,nigeria
Niue,683,555,niue
Norfolk Island,6723,505,norfolk-island
North Korea,850,467,north-korea
Northern Ireland 44,28,272,northern-ireland
Northern Mariana Islands,1,534,northern-mariana-islands
Norway,47,242,norway
Oman,968,422,oman
Pakistan,92,410,pakistan
Palau,680,552,palau
Palestine,970,425,palestine
Panama,507,714,panama
Papua New Guinea,675,537,papua-new-guinea
Paraguay,595,744,paraguay
Peru,51,716,peru
Philippines,63,515,philippines
Poland,48,260,poland
Portugal,351,268,portugal
Qatar,974,427,qatar
Reunion,262,647,reunion
Romania,40,226,romania
Russia,7,250,russia
Rwanda,250,635,rwanda
Saint-Barthelemy,590,340,saint-barthelemy
Saint Helena,290,658,saint-helena
Saint Kitts and Nevis,1,356,saint-kitts-and-nevis
Saint Lucia,1,358,saint-lucia
Saint Martin (French side),590,340,saint-martin-french-side
Saint Pierre and Miquelon,508,308,saint-pierre-and-miquelon
Saint Vincent and the Grenadines,1,360,saint-vincent-and-the-grenadines
Samoa,685,549,samoa
Sao Tome and Principe,239,626,sao-tome-and-principe
Saudi Arabia,966,420,saudi-arabia
Senegal,221,608,senegal
Serbia,381,220,serbia
Seychelles,248,633,seychelles
Sierra Leone,232,619,sierra-leone
Singapore,65,525,singapore
Slovakia,421,231,slovakia
Slovenia,386,293,slovenia
Solomon Islands,677,540,solomon-islands
Somalia,252,637,somalia
South Africa,27,655,south-africa
South Korea,82,450,south-korea
South Sudan,211,659,south-sudan
Spain,34,214,spain
Sri Lanka,94,413,sri-lanka
Sudan,249,634,sudan
Suriname,597,746,suriname
Swaziland,268,653,swaziland
Sweden,46,240,sweden
Switzerland,41,228,switzerland
Syria,963,417,syria
Taiwan,886,466,taiwan
Tajikistan,992,436,tajikistan
Tanzania,255,640,tanzania
Thailand,66,520,thailand
Togo,228,615,togo
Tokelau,690,690,tokelau
Tonga,676,539,tonga
Trinidad and Tobago,1,374,trinidad-and-tobago
Tunisia,216,605,tunisia
Turkey,90,286,turkey
Turkmenistan,993,438,turkmenistan
Turks and Caicos Islands,1,376,turks-and-caicos-islands
Tuvalu,688,553,tuvalu
Uganda,256,641,uganda
Ukraine,380,255,ukraine
United Arab Emirates,971,424|430|431,united-arab-emirates
United Kingdom,44,234|235,united-kingdom
United States of America,1,310|311|312|313|314|315|316,united-states-of-america
Uruguay,598,748,uruguay
Uzbekistan,998,434,uzbekistan
Vanuatu,678,541,vanuatu
Venezuela,58,734,venezuela
Vietnam,84,452,vietnam
U.S. Virgin Islands,1,332,u.s.virgin-islands
Wallis and Futuna,681,543,wallis-and-futuna
West Bank,970,0,west-bank
Yemen,967,421,yemen
Zambia,260,645,zambia
Zimbabwe,263,648,zimbabwe
