"tab_id";"ui_id";"label";"default_query";"pagination_type";"pagination_size";"weight"
"1";"1";"Keywords";"xc__type007_s:(""Motion picture"" OR ""Video recording"")";"none";"0";"0"
"2";"1";"Title";"xc__type007_s:(""Motion picture"" OR ""Video recording"")";"none";"0";"1"
"3";"1";"Language";"xc__type007_s:(""Motion picture"" OR ""Video recording"")";"none";"0";"2"
"4";"1";"Director";"xc__type007_s:(""Motion picture"" OR ""Video recording"")";"none";"0";"3"
"5";"1";"Genre";"xc__type007_s:(""Motion picture"" OR ""Video recording"")";"none";"0";"4"
"6";"2";"Keywords";"xc__type007_s:(""Electronic resource"")\ndcterms__identifier_t:http";"none";"0";"0"
"7";"2";"Title";"xc__type007_s:(""Electronic resource"")\ndcterms__identifier_t:http";"none";"0";"0"
"8";"2";"Subjects";"xc__type007_s:(""Electronic resource"")\ndcterms__identifier_t:http";"none";"0";"3"
"9";"3";"Keywords";"xc__type007_s:(""Electronic resource"")\n{rdvocab:modeOfIssuance}:""serial""";"none";"0";"0"
"10";"3";"Titles";"xc__type007_s:(""Electronic resource"")\n{rdvocab:modeOfIssuance}:""serial""";"none";"0";"2"